EE,GDP,P
0.34,5.67,0.36
0.22,10.13,2.9
0.32,11.34,2.39
1.23,18.879999,3.44
1.81,20.940001,3.87
1.02,22.16,10.71
1.27,23.83,3.1
1.07,24.67,9.93
0.67,27.559999,5.07
1.25,27.57,11.1
0.75,40.150002,9.6
2.8,51.619999,4.78
4.9,57.709999,4.09
3.5,63.029999,22.34
4.45,66.32,5.12
1.6,66.970001,44.919998
4.26,76.879997,7.51
5.31,101.650002,6.37
6.4,115.970001,8.37
7.15,119.489998,9.86
11.22,124.150002,8.31
8.66,140.979996,14.62
5.56,153.850006,27.059999
13.41,169.380005,14.14
5.46,186.330002,67.400002
4.79,211.779999,37.43
8.92,249.720001,123.019997
18.9,261.410004,23.940001
15.95,395.519989,57.040001
29.9,534.969971,55.950001
33.59,655.289978,53.709999
38.619999,815,61.560001
61.610001,1040.449951,116.779999
181.300003,2586.399902,227.639999